"","nb_class","mean_links"
"1",0,6.15873015873016
"2",1,0.105350066050198
"3",2,0.453114146793239
"4",3,1.7753498649644
"5",4,3.12558380902958
"6",5,4.14050886220698
"7",6,4.99629150495903
"8",7,6.25432198811453
"9",8,7.16886505290622
"10",9,8.17509861087292
"11",10,9.43952005188628
"12",11,9.95482486096205
"13",12,10.58199513382
"14",13,11.2347911871095
"15",14,12.1310634328358
"16",15,13.33815865663
"17",16,14.408719346049
"18",17,14.8388185654008
"19",18,15.6541417591802
"20",19,15.6998827667057
"21",20,17.0859538784067
"22",21,17.7400379506641
"23",22,17.1747725133354
"24",23,15.4933230611197
"25",24,19.0703363914373
"26",25,21.1329113924051
"27",26,21.9747899159664
"28",27,23.0382775119617
"29",28,24.0734463276836
"30",29,20.8820224719101
"31",30,23.7345679012346
"32",31,24.6014492753623
"33",32,23.404958677686
"34",33,8.7229793977813
"35",34,28.126582278481
"36",35,26.0804597701149
"37",36,27.6976744186047
"38",37,29.5915492957746
"39",38,28.5
"40",39,27.3064516129032
"41",40,28.9848484848485
"42",41,38.6808510638298
"43",42,30.5434782608696
"44",43,37.9024390243902
"45",44,34.375
"46",45,37.36
"47",46,32.3214285714286
"48",47,28.5625
"49",48,36.2
"50",49,16.84
"51",50,35.24
"52",51,36.2
"53",52,37.5333333333333
"54",53,35.2666666666667
"55",54,46.3846153846154
"56",55,47.375
"57",56,48.7777777777778
"58",57,51.8181818181818
"59",58,51.75
"60",59,21.1
"61",60,45.8181818181818
"62",61,46.25
"63",62,61.3076923076923
"64",63,59.0760869565217
"65",64,59.2
"66",65,52.2
"67",66,39.6
"68",67,54.9090909090909
"69",68,48.1666666666667
"70",69,48
"71",70,40.8
"72",71,52.8571428571429
"73",72,52.2857142857143
"74",73,47.6666666666667
"75",74,61.0909090909091
"76",75,48.6666666666667
"77",76,46.25
"78",77,65
"79",78,4
"80",79,54
"81",80,82
"82",81,63
"83",82,41
"84",83,69
"85",84,46.3333333333333
"86",85,44.5
"87",87,37.25
"88",88,46.6666666666667
"89",89,41
"90",90,50
"91",91,46
"92",92,67.4
"93",94,84.5
"94",97,72
"95",98,108
"96",99,95
