"","nb_class","has_color","n","total_diag","ratio"
"146",77,FALSE,3,4,0.75
"147",77,TRUE,1,4,0.25
"148",78,FALSE,1,1,1
"149",79,FALSE,3,4,0.75
"150",79,TRUE,1,4,0.25
"151",80,FALSE,1,1,1
"152",81,FALSE,4,5,0.8
"153",81,TRUE,1,5,0.2
"154",82,TRUE,1,1,1
"155",83,FALSE,3,4,0.75
"156",83,TRUE,1,4,0.25
"157",84,FALSE,3,3,1
"158",85,FALSE,4,4,1
"159",87,FALSE,2,4,0.5
"160",87,TRUE,2,4,0.5
"161",88,FALSE,2,3,0.666666666666667
"162",88,TRUE,1,3,0.333333333333333
"163",89,TRUE,1,1,1
"164",90,FALSE,1,1,1
"165",91,FALSE,1,1,1
"166",92,FALSE,15,15,1
"167",94,FALSE,1,2,0.5
"168",94,TRUE,1,2,0.5
"169",97,FALSE,2,5,0.4
"170",97,TRUE,3,5,0.6
"171",98,FALSE,1,1,1
"172",99,FALSE,2,2,1
